A & M Febcon Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amfebcon/F03,Miscellaneous,1,4,2,0,29
A and M Jumbo Bags Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amjumbobags/JB03,Containers & Packaging,1,3,1,0,36
A B Infrabuild Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abinfrabuild/I07,Cement,10,0,1,0,82
A F Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprises/AFE01,Finance - Investment,3,8,1,0,36
A G Universal Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aguniversal/U02,Miscellaneous,2,2,3,0,78
A K Spintex Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akspintex/AKS01,Textiles & Apparel,12,0,4,0,87
A-1 Acid  Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/a1acid/AA14,Trading,4,5,0,0,53
A.K.Capital Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/akcapitalservices/AKC01,Finance - Investment,7,2,3,0,67
A2Z Infra Engineering  Ltd.,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02,Infrastructure,6,3,3,0,35
AA Plus Tradelink Ltd.,https://www.moneycontrol.com/india/stockpricequote/aaplus/aaplustradelink/APT03,NA,5,0,1,0,60
AAA Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/aaa/aaatechnologies/ATL,Software,8,2,1,0,75
Aadi Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/aadiindustries/aadiindustries/AI63,Speciality Chemicals,1,4,1,0,20
Aakash Exploration Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aakashexplorationservices/AES01,Misc. Commercial Services,4,4,1,0,50
Aamcol Tools Ltd.,https://www.moneycontrol.com/india/stockpricequote/machinetools/aamcoltools/AT01,Engineering - Industrial Equipments,2,6,0,0,69
Aananda Lakshmi Spinning Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/aanandalakshmi/aanandalakshmispinningmills/ALS,Textiles & Apparel,8,2,2,0,63
Aanchal Ispat Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36,Iron & Steel,3,3,1,0,40
Aarey Drugs and Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aareydrugspharmaceuticals/ADP,Pharmaceuticals & Drugs,7,7,2,0,44
Aarnav Fashions Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aarnavfashions/KS18,Finance - Investment,2,6,3,0,53
Aaron Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/aaronindustrie/aaronindustries/AI79,Engineering,11,1,1,0,75
Aartech Solonics Ltd.,https://www.moneycontrol.com/india/stockpricequote/aartechsolonic/aartechsolonics/AS27,Electronics - Components,5,0,2,0,100
Aarti Drugs Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD,Pharmaceuticals & Drugs,5,6,2,0,75
Aarti Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,Speciality Chemicals,1,9,1,0,69
Aarti Surfactants Ltd.,https://www.moneycontrol.com/india/stockpricequote/aartisurfactan/aartisurfactants/ASL08,Diversified Chemicals,9,0,1,0,63
Aarti Pharmalabs Ltd.,https://www.moneycontrol.com/india/stockpricequote/medicalequipmentsuppliesaccessories/aartipharmalabs/AP21,Medical Equipment/Supplies/Accessories,6,2,0,0,64
Aarvee Denim and Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE,Textiles & Apparel,1,11,2,0,24
Aarvi Encon Ltd.,https://www.moneycontrol.com/india/stockpricequote/diversified/aarviencon/AE19,Misc. Commercial Services,6,6,0,0,50
Aashka Hospitals Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalhealthcareservices/aashkahospitals/AH04,Hospital & Healthcare Services,2,7,0,0,40
Aastamangalam Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/aastafin/aastamangalamfinance/UF01,Finance - NBFC,9,1,4,0,60
Aatmaj Healthcare Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aatmajhealthcare/AH11,Miscellaneous,5,2,0,0,60
